# aligned companion of POSNoise_PatternList_De_v3.0.txt; evidence: UD_German-GSD (15589 sentences) + target corpus (2000004 tokens tagged)
# entry	upos	class	evidence_count	source
'm	PROPN	OTH	1	ud
'n	DET	DET	231	corpus
'ne	DET	DET	93	corpus
'nem	DET	DET	17	corpus
'nen	DET	DET	34	corpus
'ner	-	UNK	0	-
's	X	OTH	41	ud
ab	ADP	ADP	296	ud
ab dem	ADP	MWE	296	ud
ab und an	ADP	MWE	296	ud
ab und zu	ADP	MWE	296	ud
abends	ADV	ADV	10	ud
aber	ADV	ADV	440	ud
aber auch	ADV	MWE	440	ud
abermals	ADV	ADV	3	ud
abgesehen davon	VERB	MWE	4	ud
abgesehen von	VERB	MWE	4	ud
abschliessend	ADJ	OTH	6	ud
abschließend	ADJ	OTH	6	ud
abseits	ADP	ADP	4	ud
absichtlich	ADJ	ADV	1	ud
absolut	ADJ	ADV	33	ud
abwärts	ADV	ADV	3	ud
ach	INTJ	INTJ	1	ud
ach so	INTJ	MWE	1	ud
achso	-	UNK	0	-
acht	NUM	NUM	56	ud
achte	ADJ	OTH	2	ud
achteinhalb	-	UNK	0	-
achtel	NOUN	OTH	1	ud
achten	VERB	LVERB	12	ud
achtens	-	UNK	0	-
achter	ADJ	OTH	2	ud
achtes	ADJ	OTH	1	corpus
achtzehnte	ADJ	OTH	1	corpus
achtzig	NUM	NUM	16	corpus
ah	INTJ	INTJ	313	corpus
aha	ADV	ADV	37	corpus
aktuell	ADJ	OTH	20	ud
all	PROPN	DET	16	ud
all das was	PROPN	MWE	16	ud
all und jeder	PROPN	MWE	16	ud
alldieweil	-	UNK	0	-
alle	DET	DET	469	ud
alledem	PRON	PRON	13	corpus
allein	ADV	ADV	27	ud
allem	DET	DET	119	ud
allem anschein nach	DET	MWE	119	ud
allemal	ADV	ADV	1	ud
allen	DET	DET	48	ud
allenfalls	ADV	ADV	3	ud
allenthalben	ADV	ADV	16	corpus
aller	DET	DET	46	ud
aller wahrscheinlichkeit nach	DET	MWE	46	ud
allerart	-	UNK	0	-
allerdings	ADV	ADV	132	ud
allerhand	DET	DET	35	corpus
allerlei	DET	DET	40	corpus
allermeisten	DET	DET	2	ud
allerorten	ADV	ADV	1	corpus
allerorts	ADV	ADV	2	corpus
alles	DET	DET	93	ud
alles in allem	DET	MWE	93	ud
alles mögliche	DET	MWE	93	ud
alles was	DET	MWE	93	ud
allesamt	ADV	ADV	1	ud
allesmögliche	-	UNK	0	-
alleweil	ADV	ADV	21	corpus
allgemeinen	ADJ	OTH	17	ud
alltäglich	ADJ	ADV	1	ud
allzeit	ADV	ADV	1	ud
allzu	ADV	ADV	1	ud
allzu viele	ADV	MWE	1	ud
allzuviel	PRON	PRON	10	corpus
als	ADP	ADP	1659	ud
als auch	ADP	MWE	1659	ud
als bald	ADP	MWE	1659	ud
als beispielsweise	ADP	MWE	1659	ud
als folge	ADP	MWE	1659	ud
als konsequenz	ADP	MWE	1659	ud
als ob	ADP	MWE	1659	ud
als wenn	ADP	MWE	1659	ud
als zb	ADP	MWE	1659	ud
alsbald	ADV	ADV	1	ud
alsdann	ADV	ADV	40	corpus
also	ADV	ADV	77	ud
also gut	ADV	MWE	77	ud
am	PROPN	OTH	2	ud
am ende	PROPN	MWE	2	ud
am ende von	PROPN	MWE	2	ud
an	ADP	ADP	1914	ud
an sich	ADP	MWE	1914	ud
andauernd	-	UNK	0	-
andere	DET	DET	110	ud
anderem	DET	DET	91	ud
anderen	DET	DET	161	ud
anderer	DET	DET	391	ud
andererseits	ADV	ADV	15	ud
anderes	DET	DET	6	ud
andern	PRON	PRON	746	corpus
andernfalls	ADV	ADV	1	corpus
andernorts	-	UNK	0	-
anders	ADV	ADV	22	ud
anders ausgedrückt	ADV	MWE	22	ud
anders gesagt	ADV	MWE	22	ud
anderswo	ADV	ADV	3	ud
anderthalb	NUM	NUM	2	ud
anfangs	ADV	ADV	17	ud
angeblich	ADJ	OTH	17	ud
angenommen dass	VERB	MWE	14	ud
angesichts	ADP	ADP	5	ud
anlässlich	ADP	ADP	6	ud
annähernd	ADJ	ADV	4	ud
ans	ADP	ADP	187	corpus
anscheinend	ADV	ADV	1	ud
anschließend	ADJ	ADV	61	ud
ansonsten	ADV	ADV	14	ud
anstatt	ADP	ADP	5	ud
anstelle	ADP	ADP	5	ud
apropos	ADV	ADV	17	corpus
arg	ADJ	OTH	3	ud
au	PROPN	OTH	1	ud
aua	-	UNK	0	-
auch	ADV	ADV	1346	ud
auf	ADP	ADP	1680	ud
auf alle fälle	ADP	MWE	1680	ud
auf dass	ADP	MWE	1680	ud
auf daß	ADP	MWE	1680	ud
auf der anderen seite	ADP	MWE	1680	ud
auf der einen seite	ADP	MWE	1680	ud
auf grund	ADP	MWE	1680	ud
auf jeden fall	ADP	MWE	1680	ud
aufeinander	ADV	ADV	8	ud
aufer	-	UNK	0	-
auffallend	ADJ	ADV	4	ud
aufgrund	ADP	ADP	75	ud
aufm	ADJ	OTH	1	corpus
aufn	VERB	LVERB	1	corpus
aufs	ADP	ADP	251	corpus
aufs neue	-	MWE	0	ud
aufwärts	ADV	ADV	2	ud
augenfällig	NOUN	OTH	1	corpus
augenscheinlich	ADJ	OTH	1	ud
aus	ADP	ADP	1039	ud
ausdrücklich	ADJ	ADV	6	ud
auseinander	ADV	ADV	4	ud
ausgenommen	VERB	LVERB	3	ud
ausgerechnet	ADV	ADV	4	ud
ausgesprochen	ADJ	ADV	14	ud
ausm	-	UNK	0	-
ausnahmslos	ADJ	ADV	1	ud
ausnahmslos alle	ADJ	MWE	1	ud
ausnehmend	ADV	ADV	5	corpus
ausschliesslich	-	UNK	0	-
ausschließlich	ADJ	ADV	24	ud
aussen	ADV	ADV	2	ud
ausser	ADP	ADP	17	ud
ausser dass	ADP	MWE	17	ud
ausser wenn	ADP	MWE	17	ud
ausserdem	ADV	ADV	4	ud
ausserhalb	ADP	ADP	18	ud
autsch	-	UNK	0	-
außen	ADV	ADV	18	ud
außer	ADP	ADP	17	ud
außer dass	ADP	MWE	17	ud
außer wenn	ADP	MWE	17	ud
außerdem	ADV	ADV	90	ud
außerhalb	ADP	ADP	18	ud
bah	PROPN	OTH	9	corpus
bald	ADV	ADV	47	ud
bald bald	ADV	MWE	47	ud
baldigst	-	UNK	0	-
bedauerlicherweise	-	UNK	0	-
bedingt	ADJ	OTH	9	ud
behufs	ADP	ADP	1	corpus
bei	ADP	ADP	1186	ud
bei alledem	ADP	MWE	1186	ud
bei weitem	ADP	MWE	1186	ud
beide	DET	DET	179	ud
beiden	DET	DET	130	ud
beider	DET	DET	7	ud
beiderseits	ADV	ADV	2	ud
beides	DET	DET	3	ud
beie	-	UNK	0	-
beieinander	ADV	ADV	1	ud
beileibe nicht	-	MWE	0	ud
beim	ADP	ADP	406	corpus
beinahe	ADV	ADV	5	ud
beiseite	ADV	ADV	1	ud
beispiel	NOUN	OTH	55	ud
beispielsweise	ADV	ADV	46	ud
bekanntermassen	-	UNK	0	-
bekanntermaßen	-	UNK	0	-
bekanntlich	ADV	ADV	9	corpus
bereits	ADV	ADV	182	ud
besonders	ADV	ADV	78	ud
beste grüße	ADJ	MWE	30	ud
besten dank	ADJ	MWE	44	ud
bestenfalls	ADV	ADV	1	corpus
